status,xigua,R,shumei,baiqishi,x1,x30,x85,x54,x83
0,751,0,REVIEW,other,8,8,5,-1,4
1,341,1,REJECT,high,9,6,4,216,0
0,653,0,REVIEW,other,39,40,13,4,10
0,365,0,REJECT,medium,17,18,9,34,4
0,330,0,REVIEW,other,2,2,1,-1,1
0,390,0,REVIEW,other,15,15,9,-1,6
0,346,0,REJECT,other,12,12,2,9,2
0,305,0,REJECT,other,8,8,2,83,1
0,524,0,REVIEW,other,23,24,10,5,6
0,333,1,REVIEW,high,18,18,6,31,4
1,340,0,REVIEW,other,3,3,2,-1,0
1,316,1,REVIEW,medium,5,5,2,201,0
0,680,0,PASS,other,5,4,3,140,2
0,429,0,REVIEW,other,14,14,5,6,4
0,427,0,REVIEW,other,21,21,10,14,7
1,318,1,REVIEW,other,19,19,3,128,2
0,312,0,REVIEW,other,6,5,2,139,1
1,342,0,REVIEW,other,1,1,1,194,1
0,348,1,REVIEW,other,10,10,4,6,4
0,363,0,REVIEW,other,12,12,4,262,3
1,413,0,REVIEW,other,2,2,2,-1,0
0,473,0,PASS,other,19,15,8,14,6
1,420,0,REVIEW,other,4,4,1,80,1
0,444,0,REVIEW,other,27,27,8,7,7
1,334,0,REVIEW,other,1,1,0,307,0
0,502,0,PASS,other,10,10,5,137,3
1,461,0,PASS,other,2,2,0,82,0
1,402,0,REVIEW,other,5,5,3,175,0
0,595,0,PASS,other,14,14,6,6,6
1,435,0,PASS,other,8,8,1,-1,0
0,322,0,REVIEW,other,11,8,4,8,4
1,349,0,REJECT,other,5,5,4,-1,3
0,322,0,REVIEW,other,9,8,3,78,1
1,343,1,REJECT,high,4,4,2,245,1
0,552,0,PASS,high,27,28,14,4,12
0,331,0,REVIEW,other,19,18,6,13,6
0,457,0,PASS,other,3,3,0,81,0
0,675,0,PASS,medium,7,9,5,-1,3
1,305,1,REVIEW,other,9,9,4,42,3
0,521,0,REVIEW,other,16,16,6,49,1
1,517,0,REVIEW,high,3,2,0,94,0
0,577,0,REVIEW,other,8,8,5,-1,0
0,559,0,REVIEW,other,11,10,3,8,2
0,490,0,REVIEW,other,16,16,5,10,2
0,345,0,REVIEW,other,4,4,1,205,0
0,478,0,REJECT,other,14,14,10,-1,5
1,331,0,REJECT,high,1,1,0,188,0
0,616,0,REVIEW,other,11,12,4,66,2
0,457,0,REVIEW,medium,25,25,10,9,9
0,618,0,REVIEW,other,14,14,8,11,7
0,608,0,PASS,other,11,12,4,4,4
1,314,1,PASS,high,9,8,5,72,0
1,327,0,REVIEW,other,2,2,1,109,1
1,331,0,PASS,other,9,9,6,58,1
1,306,0,REJECT,other,9,9,4,297,2
1,347,0,REVIEW,other,5,5,2,183,0
1,349,0,REVIEW,other,14,14,8,57,0
1,326,1,REVIEW,high,2,2,1,-1,0
1,348,0,REJECT,high,21,21,6,72,2
0,491,0,REVIEW,other,28,28,14,14,10
1,337,0,REVIEW,other,3,3,0,270,0
1,675,0,REVIEW,high,0,0,0,-1,0
1,321,0,REVIEW,medium,1,1,1,239,0
1,328,0,REVIEW,other,2,2,2,-1,2
1,328,0,REVIEW,high,10,10,4,317,3
1,447,0,REJECT,other,3,3,2,-1,0
0,327,0,REVIEW,other,10,10,6,326,4
0,424,0,REVIEW,other,16,16,6,-1,2
1,511,0,REVIEW,medium,14,14,3,-1,2
1,645,0,REVIEW,high,8,7,3,86,0
0,349,0,PASS,other,13,13,5,-1,4
1,468,0,REVIEW,other,2,1,0,71,0
1,439,0,REVIEW,other,5,4,0,76,0
1,338,0,REVIEW,medium,4,4,3,246,3
0,351,0,REVIEW,other,9,9,5,-1,3
0,351,0,PASS,other,16,16,7,10,6
1,352,0,REVIEW,other,1,1,0,-1,0
1,568,0,PASS,other,4,4,1,53,0
0,413,0,REVIEW,other,12,11,6,-1,3
1,345,0,REVIEW,medium,15,15,7,193,5
0,548,0,REVIEW,other,1,1,1,-1,1
0,405,0,REJECT,medium,9,9,5,60,3
1,303,0,REVIEW,other,0,0,0,360,0
1,420,0,REVIEW,other,4,4,4,40,0
0,306,0,REVIEW,other,22,21,6,2,3
0,319,0,PASS,other,18,18,6,10,6
0,579,0,REVIEW,other,22,23,10,33,8
0,602,0,REVIEW,medium,10,10,6,55,2
1,433,0,REVIEW,other,2,2,2,-1,2
0,572,0,PASS,other,19,19,8,56,3
1,329,0,REVIEW,other,6,6,3,20,2
1,690,0,REVIEW,other,8,7,2,-1,1
0,502,0,REVIEW,other,21,21,8,24,3
0,481,0,REVIEW,medium,7,5,2,160,2
0,456,0,REVIEW,medium,11,10,7,108,7
0,317,0,PASS,other,30,30,12,9,11
1,348,1,PASS,other,8,7,0,84,0
0,431,0,PASS,other,8,8,5,194,2
0,334,0,REVIEW,other,8,8,5,27,3
0,517,0,PASS,other,15,16,4,2,3
0,303,0,REVIEW,other,15,15,6,11,6
0,400,0,REVIEW,other,7,9,2,-1,2
0,509,0,REJECT,other,3,3,3,-1,1
0,309,1,REVIEW,other,2,2,2,-1,1
0,465,0,REVIEW,medium,16,16,9,104,8
0,485,0,REVIEW,medium,3,3,2,-1,1
0,345,0,PASS,other,5,6,2,351,2
0,520,0,REVIEW,other,15,7,5,7,3
0,512,0,REVIEW,other,31,31,11,182,8
0,423,0,PASS,other,10,11,5,70,2
0,314,0,PASS,other,19,19,8,6,5
0,589,0,PASS,other,14,14,4,11,2
1,338,0,REJECT,other,11,11,9,-1,3
0,521,0,REVIEW,other,11,11,5,29,5
0,343,0,PASS,other,6,6,3,-1,1
1,349,0,PASS,other,6,6,4,-1,0
0,329,1,REVIEW,other,11,10,3,292,2
1,368,0,REVIEW,other,13,13,3,72,3
0,313,0,REVIEW,other,14,14,8,55,0
0,324,0,REVIEW,other,8,8,6,-1,5
0,710,0,PASS,other,5,4,2,259,2
1,339,1,REJECT,high,11,11,5,347,5
0,347,0,PASS,medium,21,22,10,-1,8
1,306,0,REVIEW,medium,9,9,3,179,1
0,550,0,REVIEW,other,22,22,9,8,7
1,530,0,REVIEW,other,8,8,4,79,2
0,545,0,REVIEW,other,12,11,2,-1,0
1,638,0,REJECT,other,2,2,2,-1,0
1,483,0,PASS,other,3,3,1,131,1
0,498,0,REVIEW,other,5,5,2,210,0
0,518,0,PASS,other,6,6,3,127,2
1,538,0,REJECT,other,2,2,0,85,0
1,708,0,REVIEW,medium,3,3,1,106,0
0,341,0,PASS,other,4,4,1,71,0
0,666,0,REJECT,other,9,9,3,-1,2
0,419,0,REVIEW,high,3,3,1,86,1
1,376,0,REJECT,other,10,10,2,-1,1
0,439,0,REVIEW,other,1,1,0,132,0
0,455,0,REVIEW,other,6,6,5,-1,3
0,653,0,PASS,other,19,19,11,11,8
1,527,0,REVIEW,other,1,0,0,-1,0
1,501,1,REVIEW,other,3,3,0,127,0
0,567,0,REVIEW,other,8,8,4,8,3
1,341,0,REVIEW,medium,9,9,4,236,1
0,460,0,PASS,other,12,12,4,-1,1
1,318,0,REVIEW,other,17,16,10,-1,2
1,735,0,REVIEW,other,5,5,0,-1,0
0,557,0,REJECT,other,18,22,8,4,6
0,325,0,REVIEW,other,7,6,3,65,0
0,667,0,PASS,other,14,14,6,70,4
1,396,0,REVIEW,high,13,15,4,147,4
1,440,0,REVIEW,other,4,6,0,-1,0
0,645,0,PASS,other,11,12,8,-1,5
1,337,1,REJECT,high,4,4,3,158,1
1,383,0,REVIEW,high,6,5,2,87,1
0,566,0,REJECT,other,12,12,5,-1,3
0,591,0,REVIEW,other,32,31,10,18,8
0,348,0,REVIEW,other,10,4,3,11,3
0,447,0,REVIEW,other,15,15,5,42,1
1,470,0,REVIEW,other,13,12,5,84,1
1,478,0,REVIEW,other,4,4,2,-1,1
1,323,1,REVIEW,other,4,4,2,150,2
0,594,0,PASS,other,18,19,7,352,2
1,342,0,REVIEW,other,2,2,2,147,0
0,443,0,REVIEW,other,5,4,0,-1,0
1,457,0,REVIEW,high,10,11,5,3,4
0,318,0,REVIEW,high,11,9,3,232,2
0,335,0,REVIEW,other,8,8,5,14,5
0,434,0,PASS,other,17,17,10,-1,8
0,345,0,REVIEW,other,10,10,4,-1,3
0,537,0,PASS,other,38,38,10,8,7
0,317,1,REVIEW,other,11,11,5,136,1
1,601,0,REVIEW,none,1,1,0,116,0
0,405,0,REVIEW,other,12,12,3,347,1
0,678,0,REVIEW,medium,12,12,5,49,2
1,341,0,REJECT,other,13,13,5,63,0
0,508,0,PASS,other,11,11,4,-1,2
0,420,0,REVIEW,other,3,3,1,73,0
0,306,0,REVIEW,other,8,7,3,63,0
0,338,0,REJECT,other,14,14,2,121,2
0,611,0,REVIEW,other,7,7,4,-1,3
1,320,1,REVIEW,other,16,16,4,140,3
1,424,0,REVIEW,other,1,1,0,-1,0
0,467,0,REVIEW,other,25,25,8,14,5
1,304,1,REVIEW,other,4,4,4,19,2
0,324,0,REVIEW,other,8,8,2,223,2
1,361,0,REVIEW,other,7,7,2,242,0
0,582,0,REVIEW,medium,3,3,1,-1,1
1,344,0,REJECT,other,5,6,2,-1,1
0,565,0,PASS,other,24,25,9,7,8
1,419,0,REVIEW,other,7,7,5,44,0
1,337,0,REVIEW,other,12,12,3,46,1
0,771,0,PASS,other,13,14,5,342,5
0,433,0,REVIEW,medium,8,8,2,190,1
0,309,0,REVIEW,high,8,8,2,128,1
0,636,0,PASS,other,20,17,6,11,5
0,563,0,REVIEW,other,8,6,3,72,3
0,593,0,PASS,other,20,20,6,-1,2
1,462,0,REVIEW,other,2,1,0,-1,0
1,349,0,REVIEW,high,2,2,2,357,1
0,574,0,REVIEW,other,15,15,7,6,7
0,330,0,REVIEW,other,15,15,4,90,4
1,484,0,REVIEW,other,2,2,0,236,0
0,307,0,REVIEW,other,10,10,4,19,2
1,394,0,REVIEW,other,3,3,1,183,0
0,323,0,REVIEW,medium,27,29,4,81,3
1,302,0,REVIEW,other,8,3,4,13,3
0,733,0,REVIEW,other,10,10,3,10,1
1,436,0,REVIEW,other,3,3,1,194,0
1,327,0,REVIEW,medium,4,4,0,-1,0
0,738,0,PASS,medium,14,15,3,290,2
0,594,0,PASS,other,27,28,11,6,8
1,333,0,REJECT,high,9,9,3,271,2
1,348,0,REVIEW,other,8,7,2,46,0
1,341,0,REJECT,other,1,1,0,181,0
0,415,0,REVIEW,other,26,30,9,2,8
0,582,0,PASS,other,12,14,9,14,7
0,400,0,PASS,other,11,12,4,14,3
1,561,0,REVIEW,other,19,18,5,40,1
0,333,0,REVIEW,high,9,9,6,17,4
0,650,0,REVIEW,other,18,17,7,82,3
1,398,0,REVIEW,medium,7,7,1,-1,0
0,506,0,PASS,other,19,20,8,14,7
0,397,0,PASS,other,16,16,9,13,8
0,730,0,REVIEW,other,5,5,1,-1,1
0,704,0,PASS,other,6,6,1,-1,1
0,346,0,REVIEW,other,10,8,3,84,3
0,595,0,REJECT,other,12,11,4,31,3
0,433,0,REVIEW,other,11,11,8,18,4
0,349,0,REJECT,other,11,12,3,26,1
0,630,0,REVIEW,other,9,9,3,331,2
0,501,0,REVIEW,other,10,10,4,86,3
0,594,0,REVIEW,other,14,13,7,-1,5
0,611,0,REVIEW,other,9,10,3,5,2
0,570,0,REVIEW,other,6,6,3,14,3
1,395,1,REVIEW,other,7,7,3,15,1
0,470,0,REVIEW,other,12,12,6,7,4
0,609,0,REVIEW,other,17,18,6,14,3
0,316,0,REVIEW,medium,12,12,6,327,3
0,530,0,REJECT,other,13,12,5,27,4
0,549,0,REVIEW,medium,16,16,6,15,3
1,389,0,REVIEW,medium,0,0,0,200,0
0,595,0,PASS,other,5,5,2,-1,0
1,328,0,REVIEW,other,2,2,1,127,0
0,771,0,REVIEW,other,9,9,3,-1,2
0,697,0,PASS,other,11,11,8,5,4
1,349,0,REVIEW,other,18,19,7,7,3
0,411,0,REJECT,medium,8,8,4,-1,1
1,340,0,REJECT,none,0,0,0,191,0
1,349,0,PASS,other,12,11,4,73,2
0,478,0,PASS,other,9,8,3,25,2
0,318,0,PASS,other,40,37,11,16,11
1,460,0,PASS,other,11,11,6,55,0
0,437,0,REVIEW,other,6,6,2,-1,1
1,416,0,REVIEW,other,7,7,1,163,0
0,336,0,REVIEW,other,10,10,5,-1,3
1,414,0,REVIEW,other,2,2,0,-1,0
1,319,0,REVIEW,medium,5,5,4,55,2
0,491,0,REVIEW,other,12,14,6,7,5
0,378,0,PASS,other,8,8,4,8,3
0,409,0,REVIEW,other,5,5,3,59,1
0,550,0,PASS,other,10,8,5,100,1
0,720,0,REVIEW,other,0,0,0,-1,0
0,662,0,REVIEW,other,32,34,15,9,11
0,506,0,PASS,other,16,16,6,203,6
0,597,0,REVIEW,other,20,20,8,7,8
1,489,1,REVIEW,other,4,4,2,100,2
0,339,0,REVIEW,other,6,5,2,107,1
0,474,0,REVIEW,other,19,18,6,7,6
0,664,0,PASS,other,6,6,1,117,1
0,344,0,REVIEW,medium,2,2,1,260,1
0,324,0,REVIEW,other,9,9,3,-1,2
0,423,0,REVIEW,other,15,15,9,38,3
0,331,0,PASS,other,15,15,8,54,0
0,495,0,PASS,medium,8,8,5,66,2
0,606,0,REVIEW,other,10,10,7,138,5
0,553,0,REVIEW,other,12,12,5,194,3
0,340,0,REVIEW,other,9,9,3,17,2
1,565,0,REVIEW,other,9,7,2,74,2
0,341,0,REVIEW,other,19,19,7,41,1
1,322,0,REVIEW,other,7,6,1,93,0
1,702,0,REVIEW,other,9,9,5,59,1
0,548,0,REVIEW,other,17,17,6,6,3
0,348,0,REVIEW,other,15,14,4,12,4
0,703,0,PASS,other,18,18,8,10,5
0,486,0,PASS,other,16,16,6,8,2
1,706,0,REVIEW,other,5,5,0,87,0
0,307,0,PASS,other,6,4,4,105,2
0,802,0,PASS,other,21,20,4,10,3
0,363,0,REVIEW,high,10,10,5,38,4
0,322,0,PASS,other,13,13,4,26,4
0,715,0,REVIEW,other,24,27,9,7,8
0,469,0,REVIEW,medium,5,5,2,17,2
1,326,0,REVIEW,other,5,6,3,73,2
0,718,0,REVIEW,other,2,2,1,54,0
0,468,0,PASS,other,7,7,4,123,1
0,373,0,PASS,other,15,16,4,3,3
1,335,1,REVIEW,other,6,5,3,183,2
0,486,0,REVIEW,other,9,9,5,21,4
1,574,0,REVIEW,medium,2,2,1,-1,1
0,474,0,REVIEW,other,10,10,4,126,4
1,454,0,REJECT,medium,7,7,2,338,0
0,487,0,PASS,high,7,1,3,182,3
0,344,0,REVIEW,other,4,4,1,-1,0
0,349,0,REVIEW,other,17,17,3,13,3
1,347,0,REJECT,other,2,2,1,130,0
0,318,0,REVIEW,other,13,13,4,24,2
1,312,0,REVIEW,other,15,16,6,-1,5
1,347,0,REVIEW,medium,4,4,2,77,0
0,442,0,REVIEW,other,18,18,6,13,3
0,593,0,REVIEW,high,26,27,8,125,8
0,446,0,REVIEW,other,4,4,3,114,0
0,538,0,REVIEW,other,10,10,6,15,4
0,553,0,PASS,other,10,10,3,86,1
1,323,0,REVIEW,medium,9,9,6,-1,0
0,471,0,REVIEW,medium,5,5,3,-1,0
0,400,0,REVIEW,other,13,14,7,-1,5
0,504,0,REVIEW,other,6,7,3,9,3
0,308,0,REVIEW,other,6,6,3,-1,2
0,334,0,REVIEW,other,9,9,2,-1,1
0,486,0,REVIEW,other,11,10,3,78,3
1,448,0,REVIEW,other,3,3,0,91,0
0,645,0,REVIEW,other,9,9,2,66,0
0,319,0,REVIEW,other,17,17,8,8,5
0,443,0,REVIEW,other,18,17,7,53,0
0,666,0,REVIEW,medium,11,11,7,-1,2
0,343,0,REVIEW,other,19,9,8,6,6
0,515,0,REVIEW,other,12,12,6,12,6
1,339,0,REVIEW,other,4,4,2,221,2
1,325,0,REVIEW,other,2,2,1,-1,0
1,463,0,REVIEW,other,6,6,4,122,1
1,599,0,REVIEW,other,0,0,0,179,0
1,434,0,REVIEW,other,10,10,3,67,0
1,313,1,REVIEW,other,2,2,2,173,0
0,324,0,PASS,other,12,13,6,16,5
1,319,0,REVIEW,medium,9,12,4,143,0
0,520,0,PASS,other,16,16,7,-1,6
0,615,0,REVIEW,other,2,2,1,98,0
0,595,0,REVIEW,other,24,25,9,5,7
1,307,0,REVIEW,other,7,7,6,18,5
1,641,0,PASS,medium,7,7,1,72,0
0,472,0,REJECT,high,10,10,5,39,2
0,721,0,PASS,other,17,17,6,27,4
1,437,1,REVIEW,other,2,0,0,180,0
1,487,0,REVIEW,other,11,11,10,25,6
0,785,0,REVIEW,other,15,15,6,13,5
0,756,0,REVIEW,other,17,18,5,2,3
1,346,0,REVIEW,other,5,4,2,119,2
1,445,0,REJECT,other,2,2,1,134,1
1,330,1,REVIEW,other,8,8,2,55,0
1,634,0,REJECT,high,15,15,1,81,1
0,545,0,PASS,other,19,19,6,20,3
0,366,0,PASS,other,16,16,9,58,2
1,395,0,REJECT,high,6,6,4,-1,2
0,477,0,REJECT,medium,5,5,3,-1,3
0,670,0,REJECT,other,0,0,0,-1,0
0,550,0,REVIEW,other,10,10,7,286,4
0,310,0,REVIEW,other,7,2,3,-1,1
0,337,0,REVIEW,other,7,7,4,-1,2
0,618,0,REVIEW,other,18,16,10,87,5
0,345,0,REVIEW,other,10,11,3,78,2
1,348,0,REVIEW,other,10,11,3,16,3
0,306,0,PASS,other,8,8,6,34,3
0,568,0,REVIEW,medium,13,12,5,8,4
0,347,0,REVIEW,other,8,9,2,-1,0
0,385,0,REJECT,medium,8,8,5,214,0
1,441,0,REVIEW,high,5,5,2,75,1
0,601,0,REVIEW,other,13,12,5,28,4
0,328,0,REVIEW,other,14,13,6,5,3
0,337,0,PASS,other,11,11,5,-1,1
0,520,0,REJECT,high,21,21,6,169,3
1,376,0,REVIEW,other,14,13,5,88,5
0,619,0,REVIEW,medium,15,14,7,56,2
0,625,0,PASS,other,20,20,7,70,2
0,653,0,PASS,medium,17,17,10,188,4
0,538,0,PASS,other,14,14,5,101,4
0,382,0,REJECT,medium,14,14,6,327,5
0,317,0,REVIEW,other,3,3,1,-1,1
0,347,0,REVIEW,other,9,8,3,65,0
0,449,0,PASS,high,12,12,6,38,3
0,338,0,REVIEW,other,4,6,1,-1,1
0,347,0,REVIEW,other,21,19,9,58,3
0,341,0,REVIEW,other,8,6,5,352,1
1,390,0,REVIEW,medium,5,5,1,78,0
1,303,1,REVIEW,other,3,3,1,322,0
1,368,0,PASS,other,14,14,5,89,0
0,337,0,REVIEW,other,4,4,3,346,1
1,344,0,REVIEW,other,5,5,3,-1,3
0,716,0,PASS,medium,5,5,3,290,0
1,342,0,REVIEW,other,14,14,9,52,0
0,426,0,REVIEW,other,12,12,7,59,4
0,511,0,PASS,other,24,24,12,49,7
0,324,0,PASS,other,10,10,6,-1,2
0,553,0,PASS,other,1,1,1,-1,1
1,333,0,REVIEW,other,9,9,1,227,1
0,500,0,REVIEW,other,15,11,3,-1,2
0,632,0,REVIEW,other,29,29,11,124,8
1,510,0,REJECT,other,1,1,1,-1,1
0,609,0,REJECT,other,7,7,3,-1,3
0,803,0,REVIEW,other,7,7,1,-1,1
0,777,0,PASS,medium,9,8,2,-1,0
1,313,0,REJECT,high,6,6,1,145,1
0,688,0,REVIEW,other,13,13,6,9,5
1,321,1,REJECT,other,2,2,0,186,0
0,330,0,PASS,other,16,17,3,17,3
0,574,0,REVIEW,medium,12,13,3,3,2
0,495,0,REVIEW,other,7,7,4,11,4
0,599,0,REVIEW,other,9,9,6,5,3
0,652,0,REVIEW,other,14,14,5,39,4
1,611,0,REVIEW,high,4,3,0,94,0
1,365,0,REVIEW,other,4,4,0,84,0
1,350,1,REVIEW,other,7,7,2,65,0
0,513,0,PASS,other,41,40,10,2,7
1,334,1,REJECT,medium,9,9,4,134,2
1,342,0,PASS,other,11,11,4,-1,1
1,478,0,PASS,other,7,7,1,90,1
0,469,0,PASS,medium,14,14,6,231,3
1,328,0,REVIEW,other,5,5,4,7,4
0,518,0,REVIEW,other,9,9,5,51,1
1,408,0,REJECT,other,7,5,2,304,0
0,401,0,REVIEW,other,16,17,9,100,5
0,594,0,REVIEW,other,4,4,2,13,1
0,313,0,REVIEW,other,8,8,2,66,2
0,782,0,PASS,other,25,25,8,10,5
1,312,0,REVIEW,other,4,3,1,113,0
1,418,0,REVIEW,medium,4,4,2,207,0
1,506,0,PASS,other,3,3,1,-1,1
0,707,0,PASS,other,14,14,8,252,6
0,345,0,PASS,other,32,34,11,18,11
0,711,0,REVIEW,medium,7,8,2,-1,2
0,559,0,PASS,other,14,13,8,207,7
0,381,0,PASS,other,10,10,5,196,4
1,349,0,REVIEW,high,3,3,2,129,1
1,639,0,REVIEW,other,8,8,3,320,0
0,543,0,REVIEW,other,13,13,6,13,4
0,502,0,REJECT,medium,14,16,5,185,5
1,329,1,REVIEW,other,7,6,7,269,0
1,346,0,REJECT,other,12,12,4,157,3
0,530,0,REVIEW,other,16,18,7,25,6
0,662,0,PASS,other,7,7,4,112,4
1,334,0,REVIEW,other,6,6,1,79,0
1,327,1,PASS,medium,4,2,0,255,0
1,345,0,REVIEW,other,3,3,2,-1,1
0,578,0,REVIEW,other,7,8,3,-1,2
1,594,0,REVIEW,medium,5,5,4,63,0
0,336,0,REVIEW,other,6,6,4,-1,0
1,549,0,REVIEW,other,4,4,2,218,1
0,448,0,REVIEW,other,9,9,3,3,2
1,436,0,REVIEW,other,1,1,1,318,1
0,482,0,REVIEW,other,4,4,3,-1,2
0,334,0,REVIEW,medium,14,15,4,7,3
0,346,0,REVIEW,other,6,7,3,-1,0
1,326,1,REJECT,other,11,11,3,250,2
0,319,0,REVIEW,other,13,14,2,2,2
1,412,0,REVIEW,medium,7,7,3,351,2
0,551,0,REVIEW,other,7,8,4,65,2
1,314,0,REVIEW,other,9,9,5,128,1
0,565,0,REJECT,medium,10,10,5,-1,2
